S_0,v_0,kappa,theta,gamma,rho,r,K,T,EEP
100.0,0.0051773779515611,1.2859886599363937,0.061317309129001,0.0405822872538458,-0.5328318363549505,0.0709056585263379,90,1.0,0.0984280075755468
100.0,0.0051773779515611,1.2859886599363937,0.061317309129001,0.0405822872538458,-0.5328318363549505,0.0709056585263379,95,1.0,0.2134338695935564
100.0,0.0051773779515611,1.2859886599363937,0.061317309129001,0.0405822872538458,-0.5328318363549505,0.0709056585263379,100,1.0,0.4345431056564814
100.0,0.0051773779515611,1.2859886599363937,0.061317309129001,0.0405822872538458,-0.5328318363549505,0.0709056585263379,105,1.0,0.8505071921517882
100.0,0.0051773779515611,1.2859886599363937,0.061317309129001,0.0405822872538458,-0.5328318363549505,0.0709056585263379,110,1.0,1.7791980569790695
100.0,0.0254451695308981,3.2830898965372417,0.0309160311308191,0.0543922655546185,-0.5570202638115573,0.0841974791584101,90,0.5,0.051003142914373
100.0,0.0254451695308981,3.2830898965372417,0.0309160311308191,0.0543922655546185,-0.5570202638115573,0.0841974791584101,95,0.5,0.1534357513524762
100.0,0.0254451695308981,3.2830898965372417,0.0309160311308191,0.0543922655546185,-0.5570202638115573,0.0841974791584101,100,0.5,0.4003038576801176
100.0,0.0254451695308981,3.2830898965372417,0.0309160311308191,0.0543922655546185,-0.5570202638115573,0.0841974791584101,105,0.5,0.927410429617236
100.0,0.0254451695308981,3.2830898965372417,0.0309160311308191,0.0543922655546185,-0.5570202638115573,0.0841974791584101,110,0.5,1.9655056540408289
100.0,0.0254451695308981,3.2830898965372417,0.0309160311308191,0.0543922655546185,-0.5570202638115573,0.0841974791584101,90,0.75,0.1144790396232675
100.0,0.0254451695308981,3.2830898965372417,0.0309160311308191,0.0543922655546185,-0.5570202638115573,0.0841974791584101,95,0.75,0.2794345452279272
100.0,0.0254451695308981,3.2830898965372417,0.0309160311308191,0.0543922655546185,-0.5570202638115573,0.0841974791584101,100,0.75,0.6182654884991319
100.0,0.0254451695308981,3.2830898965372417,0.0309160311308191,0.0543922655546185,-0.5570202638115573,0.0841974791584101,105,0.75,1.2611497016605009
100.0,0.0254451695308981,3.2830898965372417,0.0309160311308191,0.0543922655546185,-0.5570202638115573,0.0841974791584101,110,0.75,2.424106089861052
100.0,0.0254451695308981,3.2830898965372417,0.0309160311308191,0.0543922655546185,-0.5570202638115573,0.0841974791584101,90,1.0,0.1911653193626528
100.0,0.0254451695308981,3.2830898965372417,0.0309160311308191,0.0543922655546185,-0.5570202638115573,0.0841974791584101,95,1.0,0.4150457990081255
100.0,0.0254451695308981,3.2830898965372417,0.0309160311308191,0.0543922655546185,-0.5570202638115573,0.0841974791584101,100,1.0,0.8339898743628389
100.0,0.0254451695308981,3.2830898965372417,0.0309160311308191,0.0543922655546185,-0.5570202638115573,0.0841974791584101,105,1.0,1.5719170679294248
100.0,0.0254451695308981,3.2830898965372417,0.0309160311308191,0.0543922655546185,-0.5570202638115573,0.0841974791584101,110,1.0,2.829785172709596
100.0,0.0809771164037715,2.222828787557755,0.0668341856482669,0.0701451128264988,-0.6308571674677537,0.0425020824735397,90,0.5,0.0640079043531938
100.0,0.0809771164037715,2.222828787557755,0.0668341856482669,0.0701451128264988,-0.6308571674677537,0.0425020824735397,95,0.5,0.1152533799832697
